name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
Стажер Аналитик данных,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131680190,2026-03-30T19:18:50+0300,,,,Москва,АО «ОТП Банк» (JSC «OTP Bank»),Нет опыта,"Получаешь высшее образование по технической, математической или экономической специальности. Обладаешь развитыми аналитическим способностями.",Отдел анализа доходности и контроля за данными кредитных продуктов отвечает за оценку эффективности розничных банковских продуктов и обеспечение качества продуктовых...
Специалист по обработке данных исследований,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131212784,2026-04-09T11:53:57+0300,,,,Москва,Mediascope,Нет опыта,"Владение <highlighttext>Python</highlighttext> и основных библиотек аналитика Pandas, Numpy, Matplotlib, Seaborn. Опыт в визуализации данных на <highlighttext>Python</highlighttext>. Опыт работы с Git.","Загружать данные исследований, проводить их проверку. Создавать и запускать <highlighttext>python</highlighttext>-пайплайны обработки данных. Производить загрузку обработанных данных в клиентское программное..."
Стажер - ML Engineer (Центр квантовых технологий),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131579445,2026-03-26T14:17:10+0300,,,,Москва,СБЕР,Нет опыта,Уверенные знания в области математики и статистики уровня 2-3 курса технических ВУЗов. Навыки программирования на <highlighttext>Python</highlighttext>. Уверенное знание основ...,"Участие в проектах по созданию и внедрению моделей машинного обучения. Сбор, подготовка и анализ данных для моделирования. Разработка и тестирование..."
"Инженер-программист (Python, C++, C# и пр.)","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131619716,2026-03-27T15:41:57+0300,85000.0,,RUR,Москва,НПО Алмаз,Нет опыта,"Высшее образование (техническое). Базовое знание английского языка. Умение программировать на высокоуровневых. Знание: Word, Excel, GitLab (репозитории), QT, Pycharm, PostgreSQL, GitExtensions. ","Разработка ПО для ОС Windows, Linux на языках <highlighttext>Python</highlighttext>, C++, C# и прочих подобных. Разработка программной документации. Участие в испытаниях..."
Стажёр инженер информационной безопасности,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131946901,2026-04-08T11:38:11+0300,,,,Москва,Ozon,Нет опыта,Знакомство со стандартами безопасности в области разработки ПО (OWASP/MITRE/BSIMM). Умение писать код на любом из языков go/<highlighttext>python</highlighttext>...,"Команда занимается: проведением внутренних аудитов безопасности и сопровождением внешних аудитов безопасности, сопровождением Bugbounty-программы, консультацией команд по вопросам безопасности, развитием..."
Стажёр инженер по мобильному тестированию приложения Ozon Job,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131710659,2026-03-31T15:54:18+0300,,,,Москва,Ozon,Нет опыта,"Ты будешь. Базовые знания <highlighttext>Python</highlighttext> и опыт написания автотестов. Опыт работы со снифферами (Charles, Fiddler). Понимание основ тестирования, принципов составления...",Составлять тест-кейсы и чек-листы. Учиться писать автотесты на <highlighttext>Python</highlighttext>. Работать с инструментами для анализа трафика (снифферы). 
Стажер разработки и развития бизнес-приложений,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131658694,2026-03-30T11:46:03+0300,,85000.0,RUR,Москва,Changellenge,Нет опыта,"Знаешь стандарты оформления технической документации (будет преимуществом). Умеешь читать код (1С, java, <highlighttext>python</highlighttext>) (будет преимуществом).",Разработка документации для программистов. Разрабатывать пользовательскую документацию на системы и решения компании. Актуализация технических описаний существующих систем и сервисов. 
"Стажер в Аналитический департамент, ВТБ Юниор","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131702574,2026-04-12T13:10:48+0300,81000.0,81000.0,RUR,Москва,Банк ВТБ (ПАО),Нет опыта,"Понимание принципов финансовой отчетности. Навыки финансового моделирования. Знание фондового рынка. Наличие навыков программирования будет преимуществом (SQL, <highlighttext>Python</highlighttext> и другие).","Формирование и ведение баз данных, финансовое моделирование. Участие в анализе финансового положения компаний и оценке отдельных инвестиционных проектов. "
Младший инженер Linux,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131827375,2026-04-06T09:50:05+0300,,,,Москва,Банк ВТБ (ПАО),Нет опыта,"Знание ОС LInux на начальном уровне администратора. Навыки написания простых скриптов на Bash, <highlighttext>Python</highlighttext>. Базовые знания инфраструктурных сервисов (AD, DNS...","Создание, доработка и тестирование Ansible-плэйбуков, bash/<highlighttext>python</highlighttext>-скриптов установки. Базовая настройка компонентов администрирования серверов. Выполнение роли project manager, участие..."
Стажер управления общебанковских ИТ-сервисов,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000151,2026-04-09T17:19:29+0300,85000.0,85000.0,RUR,Москва,Changellenge,Нет опыта,Имеешь базовые знания SQL и Linux.,"Мы создаем и сопровождаем системы, которые обеспечивают управление позициями, работу с рыночными данными, а также расчеты по простым и сложным..."
